detail,event_count,file_path,matched_media_id,matched_slug,media_type,plex_guid,sidecar_path,status,title
title-only movie match,114,F:\MediaStack\data\media\movies\Goosebumps 2 - Haunted Halloween (2018)\Goosebumps 2 Haunted Halloween (2018) [Bluray-1080p] {imdb-tt5664636}.mkv,670930,goosebumps-2-haunted-halloween,movie,imdb://tt5664636,F:\MediaStack\data\media\movies\Goosebumps 2 - Haunted Halloween (2018)\Goosebumps 2 Haunted Halloween (2018) [Bluray-1080p] {imdb-tt5664636}.leapfrog.json,written,Goosebumps 2: Haunted Halloween
title-only movie match,199,F:\MediaStack\data\media\movies\The Gray Man (2022)\The Gray Man (2022) [WEBDL-1080p Proper] {imdb-tt1649418}.mkv,690713,the-gray-man-4f2e0,movie,imdb://tt1649418,F:\MediaStack\data\media\movies\The Gray Man (2022)\The Gray Man (2022) [WEBDL-1080p Proper] {imdb-tt1649418}.leapfrog.json,written,The Gray Man
title-only movie match,209,F:\MediaStack\data\media\movies\Grease (1978)\Grease (1978) [Bluray-1080p] {imdb-tt0077631}.mkv,2451,grease,movie,imdb://tt0077631,F:\MediaStack\data\media\movies\Grease (1978)\Grease (1978) [Bluray-1080p] {imdb-tt0077631}.leapfrog.json,written,Grease
title-only movie match,129,F:\MediaStack\data\media\movies\The Great Debaters (2007)\The Great Debaters (2007) [Bluray-1080p] {imdb-tt0427309}.mp4,3654,the-great-debaters,movie,imdb://tt0427309,F:\MediaStack\data\media\movies\The Great Debaters (2007)\The Great Debaters (2007) [Bluray-1080p] {imdb-tt0427309}.leapfrog.json,written,The Great Debaters
title-only movie match,265,F:\MediaStack\data\media\movies\Green Book (2018)\Green Book (2018) [Bluray-1080p] {imdb-tt6966692}.mkv,671481,green-book,movie,imdb://tt6966692,F:\MediaStack\data\media\movies\Green Book (2018)\Green Book (2018) [Bluray-1080p] {imdb-tt6966692}.leapfrog.json,written,Green Book
title-only movie match,160,F:\MediaStack\data\media\movies\Green Zone (2010)\Green Zone (2010) [Bluray-1080p] {imdb-tt0947810}.mp4,1375,green-zone,movie,imdb://tt0947810,F:\MediaStack\data\media\movies\Green Zone (2010)\Green Zone (2010) [Bluray-1080p] {imdb-tt0947810}.leapfrog.json,written,Green Zone
title-only movie match,33,F:\MediaStack\data\media\movies\Greyhound (2020)\Greyhound (2020) [WEBDL-1080p Proper] {imdb-tt6048922}.mkv,679881,greyhound,movie,imdb://tt6048922,F:\MediaStack\data\media\movies\Greyhound (2020)\Greyhound (2020) [WEBDL-1080p Proper] {imdb-tt6048922}.leapfrog.json,written,Greyhound
title-only movie match,235,F:\MediaStack\data\media\movies\Gridiron Gang (2006)\Gridiron Gang (2006) [Bluray-1080p] {imdb-tt0421206}.mp4,4046,gridiron-gang,movie,imdb://tt0421206,F:\MediaStack\data\media\movies\Gridiron Gang (2006)\Gridiron Gang (2006) [Bluray-1080p] {imdb-tt0421206}.leapfrog.json,written,Gridiron Gang
title-only movie match,41,F:\MediaStack\data\media\movies\The Grinch (2018)\The Grinch (2018) [Bluray-1080p] {imdb-tt2709692}.mkv,671163,the-grinch,movie,imdb://tt2709692,F:\MediaStack\data\media\movies\The Grinch (2018)\The Grinch (2018) [Bluray-1080p] {imdb-tt2709692}.leapfrog.json,written,The Grinch
title-only movie match,71,F:\MediaStack\data\media\movies\Groundhog Day (1993)\Groundhog Day (1993) [Bluray-1080p] {imdb-tt0107048}.mkv,1505,groundhog-day,movie,imdb://tt0107048,F:\MediaStack\data\media\movies\Groundhog Day (1993)\Groundhog Day (1993) [Bluray-1080p] {imdb-tt0107048}.leapfrog.json,written,Groundhog Day
