show_title,show_slug,service_slug,year,rating,season_count,episode_count,event_count,category_count,tag_set_count
Hysteria!,hysteria-2dca8,peacock,2024,TV-MA,1,8,527,5,8
I Am Not Okay with This,i-am-not-okay-with-this-46282,netflix,2020,TV-MA,1,7,415,5,7
I Hate Christmas,i-hate-christmas-1d707,netflix,2022,TV-MA,1,6,246,4,6
I Just Killed My Dad,i-just-killed-my-dad-a56e9,netflix,2022,TV-MA,1,3,52,5,3
I Know What You Did Last Summer,i-know-what-you-did-last-summer-f33d0,amazon-prime,2021,TV-MA,1,8,1342,5,8
I Think You Should Leave with Tim Robinson,i-think-you-should-leave-with-tim-robinson-88cb9,netflix,2019,TV-MA,3,18,938,5,18
I'm a Virgo,im-a-virgo-6dd8a,amazon-prime,2023,TV-MA,1,7,628,5,7
"I, Jack Wright",i-jack-wright-d7691,amazon-prime,2025,TV-MA,1,6,249,5,6
iCarly,icarly-130f2,netflix,2007,TV-G,1,25,669,5,25
Immigration Nation,immigration-nation-8c176,netflix,2020,TV-MA,1,6,126,4,6
Imposters,imposters-631c2,amazon,2017,TV-14,2,20,1728,5,20
In From the Cold,in-from-the-cold-9cb2c,netflix,2022,TV-MA,1,8,703,5,8
In the Know,in-the-know-ed06b,peacock,2024,TV-MA,1,6,298,5,6
Insatiable,insatiable-ac62e,netflix,2018,TV-MA,2,22,2353,5,22
Inside Job,inside-job-64703,netflix,2021,TV-MA,2,18,2155,5,18
Inside Jokes,inside-jokes-34952,amazon-prime,2018,TV-MA,1,6,506,4,6
Inside Man,inside-man-d8edb,netflix,2022,TV-MA,1,4,297,5,4
Interview with the Vampire,interview-with-the-vampire-dc328,netflix,2022,TV-MA,2,15,1263,5,15
Into the Badlands,into-the-badlands-3958a,amazon-channels-amc,2015,TV-14,3,32,2359,5,32
Into the Fire: The Lost Daughter,into-the-fire-the-lost-daughter-5e01b,netflix,2024,TV-MA,1,2,92,5,2
Into the Night,into-the-night-c2a90,netflix,2020,TV-MA,2,12,463,4,12
Invasion,invasion-160b1,appletv,2021,TV-MA,3,30,1599,5,30
Inventing Anna,inventing-anna-ff572,netflix,2022,TV-MA,1,9,784,5,9
INVINCIBLE,invincible-4dd00,amazon-prime,2021,TV-MA,4,33,4022,5,33
Invisible City,invisible-city-4f3a6,netflix,2021,TV-MA,2,12,398,5,12
Jamestown,jamestown-debf0,amazon-prime,2017,TV-14,3,24,1242,5,24
Jeffrey Epstein: Filthy Rich,jeffrey-epstein-filthy-rich-c9c55,netflix,2020,TV-MA,1,4,272,5,4
Jekyll and Hyde,jekyll-and-hyde-02c91,amazon-channels-pbs,2015,TV-MA,1,10,369,5,10
Jericho,jericho-c94e7,paramount,2006,TV-14,2,30,1307,5,30
Jewish Matchmaking,jewish-matchmaking-50481,netflix,2023,TV-14,1,8,322,5,8
Joe Pickett,joe-pickett-fc6eb,amazon-channels-paramount,2021,TV-14,2,20,1389,5,20
Jupiter's Legacy,jupiters-legacy-c8f9c,netflix,2021,TV-MA,1,8,699,5,8
Jurassic World Camp Cretaceous,jurassic-world-camp-cretaceous-a67a9,netflix,2020,TV-PG,5,49,920,4,49
Jurassic World: Chaos Theory,jurassic-world-chaos-theory-4b333,netflix,2024,TV-Y7,3,30,599,3,30
Jury Duty,jury-duty-e117d,amazon-prime,2023,TV-14,2,16,1055,5,16
Just One Look,just-one-look-f7f00,netflix,2025,TV-MA,1,6,242,5,6
Justice on Trial,justice-on-trial-3ac1b,amazon-prime,2025,TV-MA,1,8,185,4,8
KAOS,kaos-db193,netflix,2024,TV-MA,1,8,744,4,8
Katla,katla-55dec,netflix,2021,TV-MA,1,8,218,4,8
Katrina: Come Hell and High Water,katrina-come-hell-and-high-water-bc836,netflix,2025,TV-MA,1,3,182,4,3
Keep Sweet: Pray and Obey,keep-sweet-pray-and-obey-109ac,netflix,2022,TV-MA,1,4,87,4,4
Kevin,kevin-7b6e7,amazon-prime,2026,TV-MA,1,8,1097,5,8
Kevin Can F**K Himself,kevin-can-fk-himself-e3376,amazon-channels-amc,2021,TV-MA,1,8,456,5,8
Kidnap and Ransom,kidnap-and-ransom-8abcb,amazon-channels-pbs,2011,TV-MA,1,3,118,5,3
