plex_guid,file_path,media_type,title,status,detail,matched_media_id,matched_slug,sidecar_path,event_count
imdb://tt0409847,F:\MediaStack\data\media\movies\Cowboys & Aliens (2011)\Cowboys and Aliens (2011) [Bluray-1080p] {imdb-tt0409847}.mp4,movie,Cowboys & Aliens,written,title-only movie match,1554,cowboys-aliens,F:\MediaStack\data\media\movies\Cowboys & Aliens (2011)\Cowboys and Aliens (2011) [Bluray-1080p] {imdb-tt0409847}.leapfrog.json,188
imdb://tt0075860,F:\MediaStack\data\media\movies\Close Encounters of the Third Kind (1977)\Close Encounters of the Third Kind (1977) [Bluray-1080p] {imdb-tt0075860}.mp4,movie,Close Encounters of the Third Kind,written,title-only movie match,2844,close-encounters-of-the-third-kind-directors-cut,F:\MediaStack\data\media\movies\Close Encounters of the Third Kind (1977)\Close Encounters of the Third Kind (1977) [Bluray-1080p] {imdb-tt0075860}.leapfrog.json,78
imdb://tt0844471,F:\MediaStack\data\media\movies\Cloudy with a Chance of Meatballs (2009)\Cloudy with a Chance of Meatballs (2009) [Bluray-1080p] {imdb-tt0844471}.mkv,movie,Cloudy with a Chance of Meatballs,written,title-only movie match,2896,cloudy-with-a-chance-of-meatballs,F:\MediaStack\data\media\movies\Cloudy with a Chance of Meatballs (2009)\Cloudy with a Chance of Meatballs (2009) [Bluray-1080p] {imdb-tt0844471}.leapfrog.json,160
imdb://tt1985966,F:\MediaStack\data\media\movies\Cloudy with a Chance of Meatballs 2 (2013)\Cloudy with a Chance of Meatballs 2 (2013) [Bluray-1080p] {imdb-tt1985966}.mkv,movie,Cloudy with a Chance of Meatballs 2,written,title-only movie match,1429,cloudy-with-a-chance-of-meatballs-2,F:\MediaStack\data\media\movies\Cloudy with a Chance of Meatballs 2 (2013)\Cloudy with a Chance of Meatballs 2 (2013) [Bluray-1080p] {imdb-tt1985966}.leapfrog.json,65
imdb://tt1060277,F:\MediaStack\data\media\movies\Cloverfield (2008)\Cloverfield (2008) [Bluray-1080p] {imdb-tt1060277}.mkv,movie,Cloverfield,written,title-only movie match,2631,cloverfield,F:\MediaStack\data\media\movies\Cloverfield (2008)\Cloverfield (2008) [Bluray-1080p] {imdb-tt1060277}.leapfrog.json,289
imdb://tt2548396,F:\MediaStack\data\media\movies\The Cloverfield Paradox (2018)\The Cloverfield Paradox (2018) [Bluray-1080p Proper] {imdb-tt2548396}.mkv,movie,The Cloverfield Paradox,written,title-only movie match,656083,the-cloverfield-paradox-2018,F:\MediaStack\data\media\movies\The Cloverfield Paradox (2018)\The Cloverfield Paradox (2018) [Bluray-1080p Proper] {imdb-tt2548396}.leapfrog.json,127
imdb://tt0112697,F:\MediaStack\data\media\movies\Clueless (1995)\Clueless (1995) [Bluray-1080p] {imdb-tt0112697}.mkv,movie,Clueless,written,title-only movie match,2612,clueless,F:\MediaStack\data\media\movies\Clueless (1995)\Clueless (1995) [Bluray-1080p] {imdb-tt0112697}.leapfrog.json,201
imdb://tt2866360,F:\MediaStack\data\media\movies\Coherence (2014)\Coherence (2014) [Bluray-1080p] {imdb-tt2866360}.mkv,movie,Coherence,written,title-only movie match,657920,coherence,F:\MediaStack\data\media\movies\Coherence (2014)\Coherence (2014) [Bluray-1080p] {imdb-tt2866360}.leapfrog.json,240
imdb://tt0369339,F:\MediaStack\data\media\movies\Collateral (2004)\Collateral (2004) [Bluray-1080p] {imdb-tt0369339}.mkv,movie,Collateral,written,title-only movie match,2493,collateral,F:\MediaStack\data\media\movies\Collateral (2004)\Collateral (2004) [Bluray-1080p] {imdb-tt0369339}.leapfrog.json,184
imdb://tt3322364,F:\MediaStack\data\media\movies\Concussion (2015)\Concussion (2015) [Bluray-1080p] {imdb-tt3322364}.mkv,movie,Concussion,written,title-only movie match,2565,concussion,F:\MediaStack\data\media\movies\Concussion (2015)\Concussion (2015) [Bluray-1080p] {imdb-tt3322364}.leapfrog.json,102
